Internal Name,Achievement ID,Points,Hidden,Repeatable,English Title,Before Earned Description,After Earned Description,Image File,In-Game Rule
AdventureBegins,com.smoothbraingames.shikakugo.achievement.adventure_begins,25,No,No,Adventure Begins,Complete your first Adventure chapter.,Your first Adventure chapter is complete.,adventure-begins.png,Complete 1 Adventure chapter
SeasonedExplorer,com.smoothbraingames.shikakugo.achievement.seasoned_explorer,75,No,No,Seasoned Explorer,Complete 10 Adventure chapters.,You completed 10 Adventure chapters.,seasoned-explorer.png,Complete 10 Adventure chapters
FreeThinker,com.smoothbraingames.shikakugo.achievement.free_thinker,25,No,No,Free Thinker,Complete your first Free Play collection.,You completed your first Free Play collection.,free-thinker.png,Complete 1 Free Play collection
PackItUp,com.smoothbraingames.shikakugo.achievement.pack_it_up,75,No,No,Pack It Up,Complete 5 Free Play collections.,You completed 5 Free Play collections.,pack-it-up.png,Complete 5 Free Play collections
TripleThreat,com.smoothbraingames.shikakugo.achievement.triple_threat,50,No,No,Triple Threat,Complete all three Daily puzzles for one day.,You completed all three Daily puzzles in one day.,triple-threat.png,Complete every Daily difficulty for one date
PerfectWeek,com.smoothbraingames.shikakugo.achievement.perfect_week,75,No,No,Perfect Week,Build a 7-day Daily puzzle streak.,You built a 7-day Daily puzzle streak.,perfect-week.png,Reach a Daily streak of 7 days
AgainstTheClock,com.smoothbraingames.shikakugo.achievement.against_the_clock,75,No,No,Against the Clock,Score in every Time Trial board size.,You scored in all four Time Trial board sizes.,against-the-clock.png,Score above 0 on board sizes 3 4 5 and 6
Clockwork,com.smoothbraingames.shikakugo.achievement.clockwork,100,No,No,Clockwork,Score 300 points in one Time Trial.,You scored at least 300 points in one Time Trial.,clockwork.png,Reach a single Time Trial score of 300
CenturyClub,com.smoothbraingames.shikakugo.achievement.century_club,100,No,No,Century Club,Complete 100 unique puzzles.,You completed 100 unique puzzles.,century-club.png,Complete 100 unique puzzles
ShikakuMaster,com.smoothbraingames.shikakugo.achievement.shikaku_master,100,No,No,Shikaku Master,Complete 1000 unique puzzles.,You completed 1000 unique puzzles.,shikaku-master.png,Complete 1000 unique puzzles
